"seq_pre_venda";"dta_emissao";"hra_emissao";"cod_pessoa_cliente";"cod_pessoa_representante";"val_total_pre_venda";"ind_status"
35.599;03/02/2017 00:00;"18:02";247;2.481;936,22;"FA"
35.600;03/02/2017 00:00;"18:14";444;2.300;1069,5;"FA"
35.602;03/02/2017 00:00;"18:23";819;2.300;3735,87;"FA"
35.584;03/02/2017 00:00;"17:42";72;18;233,5;"FA"
46.734;22/06/2017 00:00;"17:25";3.095;22;13104;"FA"
46.724;22/06/2017 00:00;"17:04";3.313;22;63000;"FA"
46.729;22/06/2017 00:00;"17:09";3.437;3.421;2957,8;"FA"
46.721;22/06/2017 00:00;"16:51";3.448;2.481;155,74;"FA"
46.710;22/06/2017 00:00;"16:24";2.287;18;347,16;"FA"
46.739;22/06/2017 00:00;"17:33";1.719;1.559;1220,4;"FA"
35.601;03/02/2017 00:00;"18:22";742;685;180,4;"FA"
46.725;22/06/2017 00:00;"17:06";39;22;32292;"FA"
46.726;22/06/2017 00:00;"17:07";913;2.300;581,08;"FA"
46.719;22/06/2017 00:00;"16:48";1.076;2.300;210,96;"FA"
46.748;22/06/2017 00:00;"18:05";714;2.481;2630,55;"FA"
46.718;22/06/2017 00:00;"16:45";3.445;3.421;1866,4;"FA"
46.713;22/06/2017 00:00;"16:30";2.943;2.182;231,54;"FA"
46.722;22/06/2017 00:00;"16:55";757;18;884,34;"FA"
46.745;22/06/2017 00:00;"17:54";2.103;3.049;81,07;"FA"
35.613;04/02/2017 00:00;"08:40";1.010;1.568;773,28;"FA"
35.607;04/02/2017 00:00;"08:18";2.741;2.481;365,22;"FA"
35.620;04/02/2017 00:00;"10:00";2.575;2.300;91,64;"FA"
46.747;22/06/2017 00:00;"18:01";3.153;3.049;273,9;"FA"
35.605;04/02/2017 00:00;"08:15";2.275;1.568;29;"FA"
35.608;04/02/2017 00:00;"08:20";741;2.481;598,7;"FA"
35.610;04/02/2017 00:00;"08:27";161;2.300;3985,8;"FA"
35.609;04/02/2017 00:00;"08:22";1.973;2.481;165,83;"FA"
35.606;04/02/2017 00:00;"08:15";2.624;2.481;194,35;"FA"
35.616;04/02/2017 00:00;"08:59";1.949;1.568;70;"FA"
46.737;22/06/2017 00:00;"17:25";2.368;2.182;237,68;"FA"
46.738;22/06/2017 00:00;"17:29";145;2.481;6532,25;"FA"
35.611;04/02/2017 00:00;"08:32";1.022;2.182;568,8;"FA"
35.615;04/02/2017 00:00;"08:58";1.587;1.559;840;"FA"
35.618;04/02/2017 00:00;"09:38";733;2.300;935,28;"FA"
35.621;04/02/2017 00:00;"10:08";1.931;1.559;1050;"FA"
35.619;04/02/2017 00:00;"09:46";1.577;2.481;326,64;"FA"
35.626;04/02/2017 00:00;"10:41";226;18;1897,5;"FA"
35.612;04/02/2017 00:00;"08:33";1.198;22;41350;"FA"
35.625;04/02/2017 00:00;"10:37";563;2.182;1748,87;"FA"
35.617;04/02/2017 00:00;"09:00";123;1.559;1050;"FA"
35.632;04/02/2017 00:00;"12:04";1.225;1.534;135,84;"FA"
46.750;22/06/2017 00:00;"18:43";1;685;50,5;"FA"
35.622;04/02/2017 00:00;"10:09";428;2.182;254,5;"FA"
46.749;22/06/2017 00:00;"18:18";1;685;31;"FA"
35.624;04/02/2017 00:00;"10:21";945;1.534;3394,8;"FA"
35.623;04/02/2017 00:00;"10:10";1.930;1.559;1050;"FA"
35.631;04/02/2017 00:00;"11:54";2.730;18;744;"FA"
46.746;22/06/2017 00:00;"17:57";737;2.300;2439,95;"FA"
35.629;04/02/2017 00:00;"11:07";741;2.481;2672,19;"FA"
35.633;04/02/2017 00:00;"12:09";2.896;2.481;2522,16;"FA"
46.754;23/06/2017 00:00;"08:27";3.294;1.568;494,76;"FA"
35.634;04/02/2017 00:00;"14:06";2.215;2.300;383,04;"FA"
35.627;04/02/2017 00:00;"10:47";2.895;685;32;"FA"
35.643;06/02/2017 00:00;"10:20";1.027;1.568;203,5;"FA"
35.630;04/02/2017 00:00;"11:23";69;18;3566,88;"FA"
46.757;23/06/2017 00:00;"09:09";939;3.049;1123,3;"FA"
46.751;22/06/2017 00:00;"19:06";1;685;21;"FA"
46.760;23/06/2017 00:00;"10:11";1.035;2.481;228,01;"FA"
46.756;23/06/2017 00:00;"09:07";1;685;100;"FA"
46.752;22/06/2017 00:00;"19:41";1;685;26,5;"FA"
46.755;23/06/2017 00:00;"09:05";1;685;101,3;"FA"
46.758;23/06/2017 00:00;"09:14";3.365;1.559;570;"FA"
46.761;23/06/2017 00:00;"10:12";51;2.481;238,8;"FA"
46.759;23/06/2017 00:00;"10:06";1.852;19;7482,17;"FA"
46.763;23/06/2017 00:00;"10:28";1.649;2.300;928,9;"FA"
46.766;23/06/2017 00:00;"10:32";1.284;18;159,13;"FA"
46.765;23/06/2017 00:00;"10:33";704;2.300;150,54;"FA"
46.784;23/06/2017 00:00;"10:58";724;2.182;529,61;"FA"
35.639;06/02/2017 00:00;"09:57";1.000;19;754,6;"FA"
35.636;06/02/2017 00:00;"08:27";767;17;7300;"FA"
35.638;06/02/2017 00:00;"09:48";307;2.300;202,56;"FA"
35.642;06/02/2017 00:00;"10:18";1.262;2.300;341,62;"FA"
35.647;06/02/2017 00:00;"10:27";2.897;49;555;"FA"
35.651;06/02/2017 00:00;"10:46";1.239;2.182;210;"FA"
35.648;06/02/2017 00:00;"10:29";952;2.182;196,14;"FA"
35.640;06/02/2017 00:00;"10:06";1.134;1.568;78,5;"FA"
35.637;06/02/2017 00:00;"09:19";1.227;1.568;99;"FA"
35.644;06/02/2017 00:00;"10:19";1.089;2.300;233,22;"FA"
35.646;06/02/2017 00:00;"10:23";391;18;158,14;"FA"
35.650;06/02/2017 00:00;"10:42";1.321;2.182;897,2;"FA"
35.649;06/02/2017 00:00;"10:30";1.154;1.568;86,6;"FA"
35.654;06/02/2017 00:00;"11:09";2.072;1.534;1805,54;"FA"
35.641;06/02/2017 00:00;"10:16";1.874;2.182;490,02;"FA"
35.645;06/02/2017 00:00;"10:23";1.029;2.300;900;"FA"
35.652;06/02/2017 00:00;"10:47";2.385;1.534;201,12;"FA"
35.655;06/02/2017 00:00;"11:18";949;2.300;194,35;"FA"
35.653;06/02/2017 00:00;"11:09";319;2.300;354,34;"FA"
35.656;06/02/2017 00:00;"11:23";842;18;153,6;"FA"
35.659;06/02/2017 00:00;"11:43";2.497;2.300;573,73;"FA"
35.657;06/02/2017 00:00;"11:23";2.421;2.182;516;"FA"
35.385;02/02/2017 00:00;"14:46";603;19;1094,8;"FA"
35.664;06/02/2017 00:00;"13:44";965;1.568;207,76;"FA"
35.428;02/02/2017 00:00;"17:16";2.730;18;1401,31;"FA"
35.658;06/02/2017 00:00;"11:25";2.551;2.300;362,76;"FA"
35.661;06/02/2017 00:00;"13:11";1.323;1.568;1959,48;"FA"
35.666;06/02/2017 00:00;"13:58";2.103;1.568;172,02;"FA"
46.779;23/06/2017 00:00;"10:55";1;685;27;"FA"
35.557;03/02/2017 00:00;"16:29";59;18;678,26;"FA"
35.662;06/02/2017 00:00;"13:12";2.137;2.481;627,38;"FA"
35.667;06/02/2017 00:00;"13:57";2.803;2.182;321,05;"FA"
35.669;06/02/2017 00:00;"14:09";386;18;173,65;"FA"
35.665;06/02/2017 00:00;"13:49";1.090;2.182;1195,44;"FA"
35.670;06/02/2017 00:00;"14:12";652;18;431,28;"FA"
46.767;23/06/2017 00:00;"10:38";1;685;101,62;"FA"
35.668;06/02/2017 00:00;"14:08";2.730;18;920;"FA"
35.671;06/02/2017 00:00;"14:20";836;18;788,58;"FA"
35.660;06/02/2017 00:00;"13:10";1.234;2.481;918;"FA"
35.663;06/02/2017 00:00;"13:14";107;2.481;1130;"FA"
46.777;23/06/2017 00:00;"10:53";1;685;77,74;"FA"
46.774;23/06/2017 00:00;"10:48";1;685;31,14;"FA"
35.675;06/02/2017 00:00;"14:27";1.373;18;11173,2;"FA"
46.783;23/06/2017 00:00;"11:00";1;685;484,5;"FA"
46.768;23/06/2017 00:00;"10:38";1.029;2.300;221,3;"FA"
46.795;23/06/2017 00:00;"11:19";1;685;113,8;"FA"
46.800;23/06/2017 00:00;"11:33";1;685;570;"FA"
46.776;23/06/2017 00:00;"10:50";1;685;28,05;"FA"
46.769;23/06/2017 00:00;"10:41";1;685;280;"FA"
46.772;23/06/2017 00:00;"10:44";527;685;729,04;"FA"
46.781;23/06/2017 00:00;"10:57";1;685;101,96;"FA"
46.788;23/06/2017 00:00;"11:09";1;685;29;"FA"
46.786;23/06/2017 00:00;"11:07";1;685;54;"FA"
46.785;23/06/2017 00:00;"11:03";1;685;26,13;"FA"
46.789;23/06/2017 00:00;"11:11";1;685;54;"FA"
46.791;23/06/2017 00:00;"11:12";1;685;27;"FA"
46.797;23/06/2017 00:00;"11:23";1;685;57,5;"FA"
46.801;23/06/2017 00:00;"11:35";1;685;22;"FA"
46.805;23/06/2017 00:00;"11:41";1;685;23,88;"FA"
35.683;06/02/2017 00:00;"14:48";757;18;563,08;"FA"
35.691;06/02/2017 00:00;"15:21";867;1.568;116,2;"FA"
35.681;06/02/2017 00:00;"14:42";1.151;18;646,2;"FA"
35.674;06/02/2017 00:00;"14:25";1.019;19;2979,1;"FA"
35.680;06/02/2017 00:00;"14:41";1.157;1.568;220,56;"FA"
35.673;06/02/2017 00:00;"14:25";390;18;172,92;"FA"
35.686;06/02/2017 00:00;"14:54";366;1.534;417,79;"CC"
35.677;06/02/2017 00:00;"14:35";898;18;2730;"FA"
35.679;06/02/2017 00:00;"14:38";2.308;18;392,14;"FA"
35.682;06/02/2017 00:00;"14:44";415;1.568;399,25;"FA"
35.684;06/02/2017 00:00;"14:50";1.747;18;322,56;"FA"
35.672;06/02/2017 00:00;"14:24";1.955;1.534;166,82;"FA"
35.676;06/02/2017 00:00;"14:33";877;18;293,79;"FA"
35.678;06/02/2017 00:00;"14:36";758;17;4030;"FA"
35.690;06/02/2017 00:00;"15:13";1.490;685;131,05;"FA"
35.692;06/02/2017 00:00;"15:24";2.000;2.300;265,76;"FA"
35.687;06/02/2017 00:00;"15:04";888;18;5765;"FA"
35.685;06/02/2017 00:00;"14:54";1.167;18;1494;"FA"
35.689;06/02/2017 00:00;"15:08";223;18;1045;"FA"
35.693;06/02/2017 00:00;"15:30";1.297;1.568;200,52;"FA"
35.699;06/02/2017 00:00;"15:46";977;19;2264,43;"FA"
35.694;06/02/2017 00:00;"15:31";1.636;1.534;430;"CC"
35.704;06/02/2017 00:00;"15:54";261;18;313,6;"FA"
35.696;06/02/2017 00:00;"15:40";1.130;1.568;254,04;"FA"
35.700;06/02/2017 00:00;"15:48";1.381;685;109,4;"FA"
35.701;06/02/2017 00:00;"15:48";981;19;2511,48;"FA"
35.698;06/02/2017 00:00;"15:44";1.360;2.300;161,2;"FA"
35.703;06/02/2017 00:00;"15:54";342;1.534;275,44;"FA"
35.697;06/02/2017 00:00;"15:40";1.636;1.534;162,72;"FA"
35.705;06/02/2017 00:00;"15:59";1.000;19;210;"FA"
35.702;06/02/2017 00:00;"15:51";1.020;19;1353,48;"FA"
35.707;06/02/2017 00:00;"16:02";746;1.568;503,4;"FA"
35.706;06/02/2017 00:00;"15:59";1.916;1.534;378,56;"FA"
35.708;06/02/2017 00:00;"16:09";420;2.182;445,28;"FA"
35.709;06/02/2017 00:00;"16:14";704;2.300;167,76;"FA"
35.711;06/02/2017 00:00;"16:31";1.035;1.559;208,8;"FA"
35.712;06/02/2017 00:00;"16:35";186;1.559;2400;"FA"
35.714;06/02/2017 00:00;"16:36";186;2.481;2235;"FA"
35.695;06/02/2017 00:00;"15:38";657;19;6600;"FA"
35.688;06/02/2017 00:00;"15:05";295;2.481;3698,94;"FA"
35.710;06/02/2017 00:00;"16:21";1.342;1.559;552;"FA"
35.719;06/02/2017 00:00;"17:02";196;2.182;1169,4;"FA"
35.720;06/02/2017 00:00;"17:07";758;17;320;"FA"
35.717;06/02/2017 00:00;"16:37";205;1.534;3577,5;"FA"
35.715;06/02/2017 00:00;"16:37";1.081;2.182;150,26;"FA"
35.724;06/02/2017 00:00;"17:24";989;1.559;368,14;"FA"
35.723;06/02/2017 00:00;"17:19";67;18;571,56;"FA"
35.716;06/02/2017 00:00;"16:37";1.844;2.300;155,3;"FA"
35.722;06/02/2017 00:00;"17:13";1.284;18;302,11;"FA"
35.718;06/02/2017 00:00;"17:01";94;1.534;1749,06;"FA"
35.721;06/02/2017 00:00;"17:11";164;2.300;3479,85;"FA"
35.729;06/02/2017 00:00;"17:50";1.642;2.481;371,13;"FA"
35.727;06/02/2017 00:00;"17:45";2.040;19;528,96;"FA"
35.730;06/02/2017 00:00;"17:54";1.309;2.300;3440,76;"FA"
35.726;06/02/2017 00:00;"17:45";1.666;2.481;647,7;"FA"
35.731;06/02/2017 00:00;"17:57";296;2.481;725,74;"FA"
35.728;06/02/2017 00:00;"17:48";2.135;2.481;1438,7;"FA"
46.762;23/06/2017 00:00;"10:17";1.563;18;4314,94;"FA"
35.740;07/02/2017 00:00;"09:43";955;1.534;410,16;"FA"
35.725;06/02/2017 00:00;"17:26";729;1.534;1145,76;"FA"
35.738;07/02/2017 00:00;"09:38";1.933;1.534;210,84;"FA"
35.734;07/02/2017 00:00;"08:22";1.582;1.568;42,8;"FA"
35.739;07/02/2017 00:00;"09:40";166;2.300;430,6;"FA"
35.732;06/02/2017 00:00;"18:04";2.491;1.568;272;"FA"
35.737;07/02/2017 00:00;"09:26";1.830;1.568;233,22;"FA"
35.750;07/02/2017 00:00;"10:09";1.048;2.300;660,56;"FA"
35.744;07/02/2017 00:00;"09:58";137;1.534;348,33;"FA"
35.736;07/02/2017 00:00;"09:24";1.115;1.568;29;"FA"
35.735;07/02/2017 00:00;"09:06";1.643;19;4493,9;"FA"
35.733;06/02/2017 00:00;"19:28";2.899;685;212,5;"FA"
35.741;07/02/2017 00:00;"09:47";993;2.182;358,5;"FA"
35.743;07/02/2017 00:00;"09:53";713;1.568;420;"FA"
35.749;07/02/2017 00:00;"10:09";2.864;2.182;1618,55;"FA"
35.742;07/02/2017 00:00;"09:52";1.313;1.568;230,66;"FA"
35.751;07/02/2017 00:00;"10:10";2.402;2.481;214,8;"FA"
35.752;07/02/2017 00:00;"10:11";2.512;2.481;228;"FA"
35.747;07/02/2017 00:00;"10:00";170;2.300;196,42;"FA"
35.807;07/02/2017 00:00;"16:14";776;1.534;922,8;"FA"
35.746;07/02/2017 00:00;"10:00";2.066;2.481;271,48;"FA"
35.745;07/02/2017 00:00;"09:59";2.892;2.182;162,72;"FA"
35.756;07/02/2017 00:00;"10:20";1.704;2.182;310,96;"FA"
35.754;07/02/2017 00:00;"10:14";1.205;2.182;305,83;"FA"
35.753;07/02/2017 00:00;"10:12";2.710;2.481;1449;"FA"
35.755;07/02/2017 00:00;"10:18";1.041;2.182;265,1;"FA"
35.759;07/02/2017 00:00;"10:28";948;2.182;193,68;"FA"
35.766;07/02/2017 00:00;"10:59";2.539;2.481;168,9;"FA"
35.764;07/02/2017 00:00;"10:47";724;2.182;1482,8;"FA"
35.762;07/02/2017 00:00;"10:43";779;1.568;306,44;"FA"
35.761;07/02/2017 00:00;"10:42";1.732;19;706,86;"FA"
35.760;07/02/2017 00:00;"10:39";964;1.568;555,5;"FA"
35.757;07/02/2017 00:00;"10:24";1.254;1.568;2103;"FA"
35.769;07/02/2017 00:00;"11:03";298;2.182;203,76;"FA"
35.767;07/02/2017 00:00;"10:58";770;2.182;194,37;"FA"
35.765;07/02/2017 00:00;"10:56";323;1.534;1265,67;"CC"
46.771;23/06/2017 00:00;"10:40";67;18;414;"FA"
35.774;07/02/2017 00:00;"11:16";887;1.568;307,84;"FA"
35.768;07/02/2017 00:00;"11:03";1.837;19;2891,9;"FA"
35.763;07/02/2017 00:00;"10:43";325;1.534;2830,72;"FA"
35.791;07/02/2017 00:00;"15:04";971;19;500,4;"FA"
35.773;07/02/2017 00:00;"11:14";250;2.182;329,4;"FA"
35.779;07/02/2017 00:00;"13:58";1.865;2.182;636;"FA"
35.772;07/02/2017 00:00;"11:12";2.541;2.481;380,07;"FA"
35.788;07/02/2017 00:00;"14:51";2.085;2.182;351,76;"FA"
35.778;07/02/2017 00:00;"11:46";2.138;2.481;255,8;"FA"
35.775;07/02/2017 00:00;"11:19";2.873;2.481;477;"FA"
35.785;07/02/2017 00:00;"14:34";2.054;18;155,48;"CC"
35.776;07/02/2017 00:00;"11:21";2.157;18;338,06;"FA"
35.748;07/02/2017 00:00;"10:03";1.910;22;15702,76;"FA"
35.777;07/02/2017 00:00;"11:35";1.284;18;242,77;"FA"
35.781;07/02/2017 00:00;"14:10";2.456;2.300;890,1;"FA"
35.786;07/02/2017 00:00;"14:43";889;18;269,76;"FA"
35.787;07/02/2017 00:00;"14:47";1.889;19;301,8;"FA"
35.782;07/02/2017 00:00;"14:24";2.221;18;164,76;"FA"
35.792;07/02/2017 00:00;"15:08";978;19;3172,13;"FA"
35.780;07/02/2017 00:00;"14:00";729;1.534;1789,68;"FA"
35.831;07/02/2017 00:00;"17:27";516;2.481;1227,5;"FA"
35.784;07/02/2017 00:00;"14:33";242;18;428,8;"CC"
35.796;07/02/2017 00:00;"15:15";2.877;2.182;2093,48;"FA"
35.799;07/02/2017 00:00;"15:30";160;2.300;182,75;"FA"
35.798;07/02/2017 00:00;"15:19";1.567;19;3977,52;"FA"
46.782;23/06/2017 00:00;"10:57";3.106;18;229,18;"FA"
46.873;23/06/2017 00:00;"16:06";1.651;3.231;157,2;"CC"
46.796;23/06/2017 00:00;"11:18";319;2.300;217,45;"FA"
46.790;23/06/2017 00:00;"11:08";1.619;2.182;4981,34;"FA"
46.775;23/06/2017 00:00;"10:46";1.087;19;768,28;"FA"
35.800;07/02/2017 00:00;"15:46";1.463;2.300;191,56;"FA"
46.780;23/06/2017 00:00;"10:53";387;18;289,89;"FA"
35.803;07/02/2017 00:00;"15:53";246;2.182;1194,3;"FA"
46.794;23/06/2017 00:00;"11:15";3.133;2.182;301,64;"FA"
35.797;07/02/2017 00:00;"15:18";560;18;215,93;"CC"
46.803;23/06/2017 00:00;"11:39";1;685;287,83;"FA"
46.787;23/06/2017 00:00;"11:05";1.750;18;392,74;"FA"
35.802;07/02/2017 00:00;"15:52";2.280;19;1648;"FA"
35.813;07/02/2017 00:00;"16:54";995;19;987,81;"FA"
35.805;07/02/2017 00:00;"15:59";2.080;19;780;"FA"
35.809;07/02/2017 00:00;"16:20";1.145;1.568;879;"FA"
35.801;07/02/2017 00:00;"15:51";2.886;18;202,55;"FA"
35.811;07/02/2017 00:00;"16:41";333;1.534;948,94;"FA"
35.771;07/02/2017 00:00;"11:11";771;2.300;1980,8;"FA"
35.793;07/02/2017 00:00;"15:09";162;2.300;449,1;"FA"
35.815;07/02/2017 00:00;"16:56";995;19;284,4;"FA"
35.794;07/02/2017 00:00;"15:11";397;2.300;299,4;"FA"
35.810;07/02/2017 00:00;"16:40";2.619;19;14409,6;"FA"
35.806;07/02/2017 00:00;"16:01";2.822;19;7451,2;"FA"
35.795;07/02/2017 00:00;"15:14";1.160;19;4208,52;"FA"
35.804;07/02/2017 00:00;"15:58";174;2.182;5056,55;"FA"
35.808;07/02/2017 00:00;"16:18";1.199;1.534;2088;"FA"
46.764;23/06/2017 00:00;"10:29";822;19;1508,02;"FA"
35.817;07/02/2017 00:00;"17:01";1.692;1.568;105,75;"FA"
35.816;07/02/2017 00:00;"16:59";1.183;19;5605,6;"FA"
35.814;07/02/2017 00:00;"16:55";1.059;1.559;3721,2;"CC"
35.812;07/02/2017 00:00;"16:51";967;19;8205,79;"FA"
35.830;07/02/2017 00:00;"17:27";1.788;2.300;6573;"FA"
35.828;07/02/2017 00:00;"17:24";892;18;183,24;"FA"
35.822;07/02/2017 00:00;"17:13";2.693;2.481;159,72;"FA"
46.770;23/06/2017 00:00;"10:40";3.430;2.300;495,02;"FA"
35.824;07/02/2017 00:00;"17:18";405;2.481;206,56;"FA"
35.825;07/02/2017 00:00;"17:20";2.900;2.481;527,4;"FA"
35.819;07/02/2017 00:00;"17:06";1.736;1.559;406,8;"FA"
35.818;07/02/2017 00:00;"17:04";2.891;19;1883,74;"FA"
35.829;07/02/2017 00:00;"17:25";1.131;2.481;430;"FA"
35.826;07/02/2017 00:00;"17:23";2.455;2.481;1090;"FA"
35.838;07/02/2017 00:00;"17:39";2.179;2.481;1886;"FA"
35.832;07/02/2017 00:00;"17:33";616;2.481;789,77;"FA"
35.841;07/02/2017 00:00;"17:51";888;18;598,8;"FA"
35.790;07/02/2017 00:00;"14:57";1.510;18;1670,4;"FA"
35.827;07/02/2017 00:00;"17:23";301;2.182;2201,25;"FA"
35.840;07/02/2017 00:00;"17:45";2.239;18;7656,72;"FA"
35.843;07/02/2017 00:00;"17:58";1.160;19;300;"FA"
35.837;07/02/2017 00:00;"17:37";945;1.534;1586,54;"FA"
35.842;07/02/2017 00:00;"17:57";2.141;19;2100;"FA"
35.846;07/02/2017 00:00;"18:27";1.111;49;28269,92;"FA"
35.839;07/02/2017 00:00;"17:41";2.158;2.481;276;"FA"
46.773;23/06/2017 00:00;"10:46";158;2.300;190,5;"FA"
46.778;23/06/2017 00:00;"10:50";764;18;4288,77;"FA"
35.844;07/02/2017 00:00;"18:01";1.585;19;348,82;"FA"
46.792;23/06/2017 00:00;"11:10";725;18;539,75;"FA"
46.793;23/06/2017 00:00;"11:11";1.022;2.182;711;"FA"
46.668;22/06/2017 00:00;"15:00";165;2.300;9543,02;"FA"
46.857;23/06/2017 00:00;"15:00";1.108;19;16234,59;"FA"
46.811;23/06/2017 00:00;"12:09";320;2.300;128,1;"FA"
35.845;07/02/2017 00:00;"18:11";1.376;2.481;3213;"FA"
46.810;23/06/2017 00:00;"12:07";446;685;591,16;"FA"
46.860;23/06/2017 00:00;"15:15";59;18;440,18;"FA"
46.836;23/06/2017 00:00;"14:10";1.157;1.568;313,76;"FA"
46.856;23/06/2017 00:00;"15:02";1.507;1.568;59;"FA"
46.849;23/06/2017 00:00;"14:32";964;1.568;1094,4;"FA"
46.858;23/06/2017 00:00;"15:07";904;1.568;105,9;"FA"
46.862;23/06/2017 00:00;"15:17";2.312;2.300;1147,53;"FA"
46.872;23/06/2017 00:00;"16:08";2.730;18;1076,23;"FA"
46.876;23/06/2017 00:00;"16:23";1.842;18;207,6;"FA"
46.880;23/06/2017 00:00;"16:34";1.254;2.481;1181,14;"FA"
35.847;08/02/2017 00:00;"08:45";1.415;1.568;446,5;"FA"
35.850;08/02/2017 00:00;"09:50";1.840;19;288,12;"FA"
35.848;08/02/2017 00:00;"09:09";1.053;1.568;458,13;"FA"
35.857;08/02/2017 00:00;"10:37";526;2.182;566,05;"FA"
35.855;08/02/2017 00:00;"10:14";2.902;685;80;"FA"
35.849;08/02/2017 00:00;"09:40";1.027;1.568;59,3;"FA"
35.864;08/02/2017 00:00;"11:01";182;2.182;159;"FA"
35.852;08/02/2017 00:00;"10:03";170;2.300;196,42;"FA"
35.854;08/02/2017 00:00;"10:12";2.795;685;64;"FA"
35.860;08/02/2017 00:00;"10:47";904;1.568;149,38;"FA"
35.858;08/02/2017 00:00;"10:40";2.837;1.568;288,22;"FA"
35.851;08/02/2017 00:00;"10:02";1.646;1.568;90,1;"FA"
35.853;08/02/2017 00:00;"10:09";29;685;1487,5;"FA"
35.862;08/02/2017 00:00;"10:58";2.030;2.182;336,96;"FA"
35.870;08/02/2017 00:00;"11:18";2.882;1.534;416,88;"FA"
35.856;08/02/2017 00:00;"10:33";2.872;1.568;173,35;"CC"
35.863;08/02/2017 00:00;"11:00";2.113;1.568;75,24;"FA"
35.869;08/02/2017 00:00;"11:13";496;2.481;461,5;"FA"
35.861;08/02/2017 00:00;"10:49";410;2.481;806,64;"FA"
35.868;08/02/2017 00:00;"11:13";519;18;185,08;"CC"
35.875;08/02/2017 00:00;"11:52";548;1.534;151,74;"FA"
35.865;08/02/2017 00:00;"11:04";2.538;2.182;399,6;"FA"
35.867;08/02/2017 00:00;"11:06";2.332;2.481;1608,06;"FA"
35.866;08/02/2017 00:00;"11:04";2.214;2.300;340;"FA"
35.876;08/02/2017 00:00;"12:06";2.903;1.568;1458,7;"FA"
35.873;08/02/2017 00:00;"11:32";1.139;2.300;173;"FA"
35.872;08/02/2017 00:00;"11:29";263;2.300;472,14;"FA"
35.878;08/02/2017 00:00;"13:30";1.313;1.568;514,24;"FA"
35.874;08/02/2017 00:00;"11:50";990;1.568;2808;"FA"
35.879;08/02/2017 00:00;"13:34";1.228;2.182;194,36;"FA"
35.882;08/02/2017 00:00;"13:54";2.440;2.182;2249,4;"FA"
35.883;08/02/2017 00:00;"13:58";1.792;19;12347,88;"FA"
35.881;08/02/2017 00:00;"13:48";191;1.568;445,5;"FA"
35.884;08/02/2017 00:00;"14:15";2.449;19;992,16;"FA"
35.885;08/02/2017 00:00;"14:30";1.157;1.568;193,28;"FA"
35.887;08/02/2017 00:00;"14:32";974;18;188,25;"FA"
35.886;08/02/2017 00:00;"14:32";957;18;1205,28;"FA"
35.877;08/02/2017 00:00;"13:26";1.688;19;13225;"FA"
35.871;08/02/2017 00:00;"11:29";1.687;19;23297,64;"FA"
35.892;08/02/2017 00:00;"14:55";2.083;1.534;467,79;"FA"
35.889;08/02/2017 00:00;"14:40";1.505;2.182;220,94;"FA"
35.894;08/02/2017 00:00;"15:22";2.243;18;214,8;"FA"
35.903;08/02/2017 00:00;"16:36";775;1.534;213,39;"FA"
35.888;08/02/2017 00:00;"14:39";1.729;19;1007,76;"FA"
35.897;08/02/2017 00:00;"15:34";1.026;2.481;1103,81;"FA"
35.895;08/02/2017 00:00;"15:29";1.542;1.568;210;"FA"
35.891;08/02/2017 00:00;"14:41";729;1.534;155,48;"FA"
35.890;08/02/2017 00:00;"14:40";729;1.534;672,3;"FA"
35.893;08/02/2017 00:00;"15:11";1.953;19;946,08;"FA"
35.900;08/02/2017 00:00;"15:56";1.609;19;3726;"FA"
35.896;08/02/2017 00:00;"15:30";2.883;18;372,84;"FA"
35.898;08/02/2017 00:00;"15:34";2.399;1.534;1449,62;"FA"
35.901;08/02/2017 00:00;"16:03";2.696;18;687,11;"FA"
35.910;08/02/2017 00:00;"16:48";495;1.568;89,74;"FA"
35.906;08/02/2017 00:00;"16:42";2.595;2.300;236,5;"FA"
35.902;08/02/2017 00:00;"16:20";2.339;2.182;1506,6;"FA"
35.904;08/02/2017 00:00;"16:39";207;1.534;428,58;"FA"
35.905;08/02/2017 00:00;"16:41";213;1.534;1188;"FA"
35.908;08/02/2017 00:00;"16:45";1.076;2.300;407,5;"FA"
35.912;08/02/2017 00:00;"16:49";1.272;1.568;63;"FA"
35.915;08/02/2017 00:00;"16:55";432;2.182;308,76;"FA"
35.909;08/02/2017 00:00;"16:47";1.916;1.534;584,34;"FA"
35.907;08/02/2017 00:00;"16:44";1.839;1.534;965,48;"FA"
35.914;08/02/2017 00:00;"16:53";1.319;2.182;193,26;"FA"
35.916;08/02/2017 00:00;"17:21";2.896;2.481;1179,48;"FA"
35.913;08/02/2017 00:00;"16:49";280;2.300;351,5;"FA"
35.899;08/02/2017 00:00;"15:36";1.017;685;247,95;"FA"
35.880;08/02/2017 00:00;"13:42";286;2.481;6009,22;"FA"
35.918;08/02/2017 00:00;"17:29";58;18;821,18;"FA"
35.911;08/02/2017 00:00;"16:48";136;1.534;2250;"FA"
35.920;08/02/2017 00:00;"17:37";763;1.559;6705,3;"FA"
35.919;08/02/2017 00:00;"17:33";1.976;2.300;314,9;"FA"
35.921;08/02/2017 00:00;"17:41";1.044;2.300;205,74;"FA"
35.917;08/02/2017 00:00;"17:23";905;18;2498,51;"FA"
35.925;08/02/2017 00:00;"17:49";836;18;210;"FA"
35.924;08/02/2017 00:00;"17:48";2.473;2.300;159,6;"FA"
